crim,indus,nox,rm,medv,neighborhood
0.12204,2.89,0.445,6.625,28.4,Suburban
0.11504,2.89,0.445,6.163,21.4,Urban
0.12083,2.89,0.445,8.069,38.7,Urban
0.08187,2.89,0.445,7.82,43.8,Urban
0.0686,2.89,0.445,7.416,33.2,Rural
0.14866,8.56,0.52,6.727,27.5,Rural
0.11432,8.56,0.52,6.781,26.5,Suburban
0.22876,8.56,0.52,6.405,18.6,Rural
0.21161,8.56,0.52,6.137,19.3,Urban
0.1396,8.56,0.52,6.167,20.1,Rural
0.13262,8.56,0.52,5.851,19.5,Suburban
0.1712,8.56,0.52,5.836,19.5,Urban
0.13117,8.56,0.52,6.127,20.4,Rural
0.12802,8.56,0.52,6.474,19.8,Rural
0.26363,8.56,0.52,6.229,19.4,Rural
0.10793,8.56,0.52,6.195,21.7,Urban
0.10084,10.01,0.547,6.715,22.8,Suburban
0.12329,10.01,0.547,5.913,18.8,Rural
0.22212,10.01,0.547,6.092,18.7,Urban
0.14231,10.01,0.547,6.254,18.5,Suburban
0.17134,10.01,0.547,5.928,18.3,Rural
0.13158,10.01,0.547,6.176,21.2,Rural
0.15098,10.01,0.547,6.021,19.2,Urban
0.13058,10.01,0.547,5.872,20.4,Rural
0.14476,10.01,0.547,5.731,19.3,Rural
0.06899,25.65,0.581,5.87,22,Rural
0.07165,25.65,0.581,6.004,20.3,Suburban
0.09299,25.65,0.581,5.961,20.5,Suburban
0.15038,25.65,0.581,5.856,17.3,Rural
0.09849,25.65,0.581,5.879,18.8,Rural
0.16902,25.65,0.581,5.986,21.4,Urban
0.38735,25.65,0.581,5.613,15.7,Rural
0.25915,21.89,0.624,5.693,16.2,Rural
0.32543,21.89,0.624,6.431,18,Rural
0.88125,21.89,0.624,5.637,14.3,Suburban
0.34006,21.89,0.624,6.458,19.2,Suburban
1.19294,21.89,0.624,6.326,19.6,Suburban
0.59005,21.89,0.624,6.372,23,Rural
0.32982,21.89,0.624,5.822,18.4,Suburban
0.97617,21.89,0.624,5.757,15.6,Suburban
0.55778,21.89,0.624,6.335,18.1,Suburban
0.32264,21.89,0.624,5.942,17.4,Suburban
0.35233,21.89,0.624,6.454,17.1,Suburban
0.2498,21.89,0.624,5.857,13.3,Urban
0.54452,21.89,0.624,6.151,17.8,Rural
0.2909,21.89,0.624,6.174,14,Rural
1.62864,21.89,0.624,5.019,14.4,Rural
3.32105,19.58,0.871,5.403,13.4,Rural
4.0974,19.58,0.871,5.468,15.6,Rural
2.77974,19.58,0.871,4.903,11.8,Suburban
2.37934,19.58,0.871,6.13,13.8,Rural
2.15505,19.58,0.871,5.628,15.6,Rural
2.36862,19.58,0.871,4.926,14.6,Rural
2.33099,19.58,0.871,5.186,17.8,Rural
2.73397,19.58,0.871,5.597,15.4,Suburban
1.6566,19.58,0.871,6.122,21.5,Urban
1.49632,19.58,0.871,5.404,19.6,Rural
1.12658,19.58,0.871,5.012,15.3,Rural
2.14918,19.58,0.871,5.709,19.4,Rural
1.41385,19.58,0.871,6.129,17,Rural
3.53501,19.58,0.871,6.152,15.6,Rural
2.44668,19.58,0.871,5.272,13.1,Suburban
1.22358,19.58,0.605,6.943,41.3,Urban
1.34284,19.58,0.605,6.066,24.3,Rural
1.42502,19.58,0.871,6.51,23.3,Suburban
1.27346,19.58,0.605,6.25,27,Rural
1.46336,19.58,0.605,7.489,50,Urban
1.83377,19.58,0.605,7.802,50,Urban
1.51902,19.58,0.605,8.375,50,Urban
2.24236,19.58,0.605,5.854,22.7,Suburban
2.924,19.58,0.605,6.101,25,Rural
2.01019,19.58,0.605,7.929,50,Urban
1.80028,19.58,0.605,5.877,23.8,Suburban
2.3004,19.58,0.605,6.319,23.8,Rural
2.44953,19.58,0.605,6.402,22.3,Suburban
1.20742,19.58,0.605,5.875,17.4,Suburban
2.3139,19.58,0.605,5.88,19.1,Rural
0.13914,4.05,0.51,5.572,23.1,Urban
0.09178,4.05,0.51,6.416,23.6,Urban
0.08447,4.05,0.51,5.859,22.6,Rural
0.06664,4.05,0.51,6.546,29.4,Rural
0.07022,4.05,0.51,6.02,23.2,Suburban
0.05425,4.05,0.51,6.315,24.6,Rural
0.06642,4.05,0.51,6.86,29.9,Urban
0.0578,2.46,0.488,6.98,37.2,Urban
0.06588,2.46,0.488,7.765,39.8,Rural
0.06888,2.46,0.488,6.144,36.2,Urban
0.09103,2.46,0.488,7.155,37.9,Urban
0.10008,2.46,0.488,6.563,32.5,Suburban
0.08308,2.46,0.488,5.604,26.4,Rural
0.06047,2.46,0.488,6.153,29.6,Rural
0.05602,2.46,0.488,7.831,50,Urban
0.07875,3.44,0.437,6.782,32,Rural
0.12579,3.44,0.437,6.556,29.8,Urban
0.0837,3.44,0.437,7.185,34.9,Urban
0.09068,3.44,0.437,6.951,37,Urban
0.06911,3.44,0.437,6.739,30.5,Suburban
0.08664,3.44,0.437,7.178,36.4,Suburban
0.02187,2.93,0.401,6.8,31.1,Rural
0.01439,2.93,0.401,6.604,29.1,Urban
0.01381,0.46,0.422,7.875,50,Urban
0.04011,1.52,0.404,7.287,33.3,Rural
0.04666,1.52,0.404,7.107,30.3,Rural
0.03768,1.52,0.404,7.274,34.6,Suburban
0.0315,1.47,0.403,6.975,34.9,Rural
0.01778,1.47,0.403,7.135,32.9,Suburban
0.03445,2.03,0.415,6.162,24.1,Urban
0.02177,2.03,0.415,7.61,42.3,Urban
0.0351,2.68,0.4161,7.853,48.5,Urban
0.02009,2.68,0.4161,8.034,50,Urban
0.13642,10.59,0.489,5.891,22.6,Urban
0.22969,10.59,0.489,6.326,24.4,Suburban
0.25199,10.59,0.489,5.783,22.5,Suburban
0.13587,10.59,0.489,6.064,24.4,Suburban
0.43571,10.59,0.489,5.344,20,Rural
0.17446,10.59,0.489,5.96,21.7,Rural
0.37578,10.59,0.489,5.404,19.3,Rural
0.21719,10.59,0.489,5.807,22.4,Suburban
0.14052,10.59,0.489,6.375,28.1,Rural
0.28955,10.59,0.489,5.412,23.7,Suburban
0.19802,10.59,0.489,6.182,25,Urban
0.0456,13.89,0.55,5.888,23.3,Suburban
0.07013,13.89,0.55,6.642,28.7,Rural
0.11069,13.89,0.55,5.951,21.5,Urban
0.11425,13.89,0.55,6.373,23,Urban
0.35809,6.2,0.507,6.951,26.7,Suburban
0.40771,6.2,0.507,6.164,21.7,Urban
0.62356,6.2,0.507,6.879,27.5,Urban
0.6147,6.2,0.507,6.618,30.1,Rural
0.31533,6.2,0.504,8.266,44.8,Urban
0.52693,6.2,0.504,8.725,50,Urban
0.38214,6.2,0.504,8.04,37.6,Urban
0.41238,6.2,0.504,7.163,31.6,Rural
0.29819,6.2,0.504,7.686,46.7,Urban
0.44178,6.2,0.504,6.552,31.5,Urban
0.537,6.2,0.504,5.981,24.3,Rural
0.46296,6.2,0.504,7.412,31.7,Rural
0.57529,6.2,0.507,8.337,41.7,Urban
0.33147,6.2,0.507,8.247,48.3,Urban
0.44791,6.2,0.507,6.726,29,Suburban
0.33045,6.2,0.507,6.086,24,Suburban
0.52058,6.2,0.507,6.631,25.1,Suburban
0.51183,6.2,0.507,7.358,31.5,Urban
0.08244,4.93,0.428,6.481,23.7,Suburban
0.09252,4.93,0.428,6.606,23.3,Urban
0.11329,4.93,0.428,6.897,22,Rural
0.10612,4.93,0.428,6.095,20.1,Rural
0.1029,4.93,0.428,6.358,22.2,Suburban
0.12757,4.93,0.428,6.393,23.7,Rural
0.20608,5.86,0.431,5.593,17.6,Rural
0.19133,5.86,0.431,5.605,18.5,Suburban
0.33983,5.86,0.431,6.108,24.3,Suburban
0.19657,5.86,0.431,6.226,20.5,Urban
0.16439,5.86,0.431,6.433,24.5,Urban
0.19073,5.86,0.431,6.718,26.2,Urban
0.1403,5.86,0.431,6.487,24.4,Suburban
0.21409,5.86,0.431,6.438,24.8,Suburban
0.08221,5.86,0.431,6.957,29.6,Rural
0.36894,5.86,0.431,8.259,42.8,Urban
0.04819,3.64,0.392,6.108,21.9,Rural
0.03548,3.64,0.392,5.876,20.9,Urban
0.01538,3.75,0.394,7.454,44,Urban
0.61154,3.97,0.647,8.704,50,Urban
0.66351,3.97,0.647,7.333,36,Urban
0.65665,3.97,0.647,6.842,30.1,Urban
0.54011,3.97,0.647,7.203,33.8,Urban
0.53412,3.97,0.647,7.52,43.1,Rural
0.52014,3.97,0.647,8.398,48.8,Urban
0.82526,3.97,0.647,7.327,31,Urban
0.55007,3.97,0.647,7.206,36.5,Urban
0.76162,3.97,0.647,5.56,22.8,Rural
0.7857,3.97,0.647,7.014,30.7,Suburban
0.57834,3.97,0.575,8.297,50,Urban
0.5405,3.97,0.575,7.47,43.5,Urban
0.09065,6.96,0.464,5.92,20.7,Rural
0.29916,6.96,0.464,5.856,21.1,Urban
0.16211,6.96,0.464,6.24,25.2,Suburban
0.1146,6.96,0.464,6.538,24.4,Suburban
0.22188,6.96,0.464,7.691,35.2,Urban
0.05644,6.41,0.447,6.758,32.4,Urban
0.09604,6.41,0.447,6.854,32,Urban
0.10469,6.41,0.447,7.267,33.2,Urban
0.06127,6.41,0.447,6.826,33.1,Rural
0.07978,6.41,0.447,6.482,29.1,Suburban
0.21038,3.33,0.4429,6.812,35.1,Urban
0.03578,3.33,0.4429,7.82,45.4,Urban
0.03705,3.33,0.4429,6.968,35.4,Urban
0.06129,3.33,0.4429,7.645,46,Urban
0.01501,1.21,0.401,7.923,50,Urban
0.00906,2.97,0.4,7.088,32.2,Suburban
0.01096,2.25,0.389,6.453,22,Suburban
0.01965,1.76,0.385,6.23,20.1,Suburban
0.03871,5.32,0.405,6.209,23.2,Suburban
0.0459,5.32,0.405,6.315,22.3,Suburban
0.04297,5.32,0.405,6.565,24.8,Rural
0.03502,4.95,0.411,6.861,28.5,Suburban
0.07886,4.95,0.411,7.148,37.3,Urban
0.03615,4.95,0.411,6.63,27.9,Suburban
0.08265,13.92,0.437,6.127,23.9,Urban
0.08199,13.92,0.437,6.009,21.7,Urban
0.12932,13.92,0.437,6.678,28.6,Urban
0.05372,13.92,0.437,6.549,27.1,Urban
0.14103,13.92,0.437,5.79,20.3,Suburban
0.06466,2.24,0.4,6.345,22.5,Suburban
0.05561,2.24,0.4,7.041,29,Urban
0.04417,2.24,0.4,6.871,24.8,Urban
0.03537,6.09,0.433,6.59,22,Suburban
0.09266,6.09,0.433,6.495,26.4,Urban
0.1,6.09,0.433,6.982,33.1,Urban
0.05515,2.18,0.472,7.236,36.1,Urban
0.05479,2.18,0.472,6.616,28.4,Rural
0.07503,2.18,0.472,7.42,33.4,Suburban
0.04932,2.18,0.472,6.849,28.2,Suburban
0.49298,9.9,0.544,6.635,22.8,Rural
0.3494,9.9,0.544,5.972,20.3,Rural
2.63548,9.9,0.544,4.973,16.1,Rural
0.79041,9.9,0.544,6.122,22.1,Rural
0.26169,9.9,0.544,6.023,19.4,Suburban
0.26938,9.9,0.544,6.266,21.6,Suburban
0.3692,9.9,0.544,6.567,23.8,Suburban
0.25356,9.9,0.544,5.705,16.2,Suburban
0.31827,9.9,0.544,5.914,17.8,Suburban
0.24522,9.9,0.544,5.782,19.8,Rural
0.40202,9.9,0.544,6.382,23.1,Suburban
0.47547,9.9,0.544,6.113,21,Urban
0.1676,7.38,0.493,6.426,23.8,Urban
0.18159,7.38,0.493,6.376,23.1,Suburban
0.35114,7.38,0.493,6.041,20.4,Suburban
0.28392,7.38,0.493,5.708,18.5,Suburban
0.34109,7.38,0.493,6.415,25,Suburban
0.19186,7.38,0.493,6.431,24.6,Suburban
0.30347,7.38,0.493,6.312,23,Urban
0.24103,7.38,0.493,6.083,22.2,Suburban
0.06617,3.24,0.46,5.868,19.3,Rural
0.06724,3.24,0.46,6.333,22.6,Urban
0.04544,3.24,0.46,6.144,19.8,Suburban
0.05023,6.06,0.4379,5.706,17.1,Rural
0.03466,6.06,0.4379,6.031,19.4,Suburban
0.05083,5.19,0.515,6.316,22.2,Urban
0.03738,5.19,0.515,6.31,20.7,Suburban
0.03961,5.19,0.515,6.037,21.1,Rural
0.03427,5.19,0.515,5.869,19.5,Suburban
0.03041,5.19,0.515,5.895,18.5,Suburban
0.03306,5.19,0.515,6.059,20.6,Rural
0.05497,5.19,0.515,5.985,19,Urban
0.06151,5.19,0.515,5.968,18.7,Rural
0.01301,1.52,0.442,7.241,32.7,Suburban
0.02498,1.89,0.518,6.54,16.5,Suburban
0.02543,3.78,0.484,6.696,23.9,Suburban
0.03049,3.78,0.484,6.874,31.2,Rural
0.03113,4.39,0.442,6.014,17.5,Rural
0.06162,4.39,0.442,5.898,17.2,Urban
0.0187,4.15,0.429,6.516,23.1,Suburban
0.01501,2.01,0.435,6.635,24.5,Suburban
0.02899,1.25,0.429,6.939,26.6,Rural
0.06211,1.25,0.429,6.49,22.9,Suburban
0.0795,1.69,0.411,6.579,24.1,Urban
0.07244,1.69,0.411,5.884,18.6,Suburban
0.01709,2.02,0.41,6.728,30.1,Suburban
0.04301,1.91,0.413,5.663,18.2,Suburban
0.10659,1.91,0.413,5.936,20.6,Urban
8.98296,18.1,0.77,6.212,17.8,Suburban
3.8497,18.1,0.77,6.395,21.7,Rural
5.20177,18.1,0.77,6.127,22.7,Suburban
4.26131,18.1,0.77,6.112,22.6,Urban
4.54192,18.1,0.77,6.398,25,Suburban
3.83684,18.1,0.77,6.251,19.9,Rural
3.67822,18.1,0.77,5.362,20.8,Urban
4.22239,18.1,0.77,5.803,16.8,Rural
3.47428,18.1,0.718,8.78,21.9,Suburban
4.55587,18.1,0.718,3.561,27.5,Urban
3.69695,18.1,0.718,4.963,21.9,Suburban
13.5222,18.1,0.631,3.863,23.1,Suburban
4.89822,18.1,0.631,4.97,50,Urban
5.66998,18.1,0.631,6.683,50,Urban
6.53876,18.1,0.631,7.016,50,Urban
9.2323,18.1,0.631,6.216,50,Urban
8.26725,18.1,0.668,5.875,50,Rural
11.1081,18.1,0.668,4.906,13.8,Rural
18.4982,18.1,0.668,4.138,13.8,Suburban
19.6091,18.1,0.671,7.313,15,Urban
15.288,18.1,0.671,6.649,13.9,Suburban
9.82349,18.1,0.671,6.794,13.3,Rural
23.6482,18.1,0.671,6.38,13.1,Rural
17.8667,18.1,0.671,6.223,10.2,Urban
88.9762,18.1,0.671,6.968,10.4,Suburban
15.8744,18.1,0.671,6.545,10.9,Suburban
9.18702,18.1,0.7,5.536,11.3,Rural
7.99248,18.1,0.7,5.52,12.3,Suburban
20.0849,18.1,0.7,4.368,8.8,Suburban
16.8118,18.1,0.7,5.277,7.2,Urban
24.3938,18.1,0.7,4.652,10.5,Rural
22.5971,18.1,0.7,5,7.4,Rural
14.3337,18.1,0.7,4.88,10.2,Rural
8.15174,18.1,0.7,5.39,11.5,Rural
6.96215,18.1,0.7,5.713,15.1,Urban
5.29305,18.1,0.7,6.051,23.2,Suburban
11.5779,18.1,0.7,5.036,9.7,Suburban
8.64476,18.1,0.693,6.193,13.8,Suburban
13.3598,18.1,0.693,5.887,12.7,Rural
8.71675,18.1,0.693,6.471,13.1,Rural
5.87205,18.1,0.693,6.405,12.5,Rural
7.67202,18.1,0.693,5.747,8.5,Rural
38.3518,18.1,0.693,5.453,5,Rural
9.91655,18.1,0.693,5.852,6.3,Urban
25.0461,18.1,0.693,5.987,5.6,Urban
14.2362,18.1,0.693,6.343,7.2,Rural
9.59571,18.1,0.693,6.404,12.1,Urban
24.8017,18.1,0.693,5.349,8.3,Suburban
41.5292,18.1,0.693,5.531,8.5,Rural
67.9208,18.1,0.693,5.683,5,Rural
20.7162,18.1,0.659,4.138,11.9,Suburban
11.9511,18.1,0.659,5.608,27.9,Suburban
7.40389,18.1,0.597,5.617,17.2,Rural
14.4383,18.1,0.597,6.852,27.5,Rural
51.1358,18.1,0.597,5.757,15,Rural
14.0507,18.1,0.597,6.657,17.2,Suburban
18.811,18.1,0.597,4.628,17.9,Rural
28.6558,18.1,0.597,5.155,16.3,Rural
45.7461,18.1,0.693,4.519,7,Rural
18.0846,18.1,0.679,6.434,7.2,Rural
10.8342,18.1,0.679,6.782,7.5,Urban
25.9406,18.1,0.679,5.304,10.4,Rural
73.5341,18.1,0.679,5.957,8.8,Rural
11.8123,18.1,0.718,6.824,8.4,Rural
11.0874,18.1,0.718,6.411,16.7,Suburban
7.02259,18.1,0.718,6.006,14.2,Suburban
12.0482,18.1,0.614,5.648,20.8,Rural
7.05042,18.1,0.614,6.103,13.4,Rural
8.79212,18.1,0.584,5.565,11.7,Suburban
15.8603,18.1,0.679,5.896,8.3,Suburban
12.2472,18.1,0.584,5.837,10.2,Rural
37.6619,18.1,0.679,6.202,10.9,Rural
7.36711,18.1,0.679,6.193,11,Rural
9.33889,18.1,0.679,6.38,9.5,Suburban
8.49213,18.1,0.584,6.348,14.5,Urban
10.0623,18.1,0.584,6.833,14.1,Suburban
6.44405,18.1,0.584,6.425,16.1,Rural
5.58107,18.1,0.713,6.436,14.3,Urban
13.9134,18.1,0.713,6.208,11.7,Rural
11.1604,18.1,0.74,6.629,13.4,Suburban
14.4208,18.1,0.74,6.461,9.6,Rural
15.1772,18.1,0.74,6.152,8.7,Rural
13.6781,18.1,0.74,5.935,8.4,Rural
9.39063,18.1,0.74,5.627,12.8,Rural
22.0511,18.1,0.74,5.818,10.5,Rural
9.72418,18.1,0.74,6.406,17.1,Suburban
5.66637,18.1,0.74,6.219,18.4,Suburban
9.96654,18.1,0.74,6.485,15.4,Rural
12.8023,18.1,0.74,5.854,10.8,Suburban
10.6718,18.1,0.74,6.459,11.8,Suburban
6.28807,18.1,0.74,6.341,14.9,Suburban
9.92485,18.1,0.74,6.251,12.6,Rural
9.32909,18.1,0.713,6.185,14.1,Rural
7.52601,18.1,0.713,6.417,13,Suburban
6.71772,18.1,0.713,6.749,13.4,Suburban
5.44114,18.1,0.713,6.655,15.2,Rural
5.09017,18.1,0.713,6.297,16.1,Rural
8.24809,18.1,0.713,7.393,17.8,Rural
9.51363,18.1,0.713,6.728,14.9,Rural
4.75237,18.1,0.713,6.525,14.1,Suburban
4.66883,18.1,0.713,5.976,12.7,Suburban
8.20058,18.1,0.713,5.936,13.5,Suburban
7.75223,18.1,0.713,6.301,14.9,Rural
6.80117,18.1,0.713,6.081,20,Rural
4.81213,18.1,0.713,6.701,16.4,Urban
3.69311,18.1,0.713,6.376,17.7,Rural
6.65492,18.1,0.713,6.317,19.5,Rural
5.82115,18.1,0.713,6.513,20.2,Suburban
7.83932,18.1,0.655,6.209,21.4,Rural
3.1636,18.1,0.655,5.759,19.9,Rural
3.77498,18.1,0.655,5.952,19,Rural
4.42228,18.1,0.584,6.003,19.1,Suburban
15.5757,18.1,0.58,5.926,19.1,Rural
13.0751,18.1,0.58,5.713,20.1,Urban
4.34879,18.1,0.58,6.167,19.9,Rural
4.03841,18.1,0.532,6.229,19.6,Suburban
3.56868,18.1,0.58,6.437,23.2,Rural
4.64689,18.1,0.614,6.98,29.8,Urban
8.05579,18.1,0.584,5.427,13.8,Suburban
6.39312,18.1,0.584,6.162,13.3,Rural
4.87141,18.1,0.614,6.484,16.7,Suburban
15.0234,18.1,0.614,5.304,12,Rural
10.233,18.1,0.614,6.185,14.6,Rural
14.3337,18.1,0.614,6.229,21.4,Urban
5.82401,18.1,0.532,6.242,23,Suburban
5.70818,18.1,0.532,6.75,23.7,Urban
5.73116,18.1,0.532,7.061,25,Suburban
2.81838,18.1,0.532,5.762,21.8,Rural
2.37857,18.1,0.583,5.871,20.6,Urban
3.67367,18.1,0.583,6.312,21.2,Suburban
5.69175,18.1,0.583,6.114,19.1,Rural
4.83567,18.1,0.583,5.905,20.6,Rural
0.15086,27.74,0.609,5.454,15.2,Rural
0.18337,27.74,0.609,5.414,7,Suburban
0.20746,27.74,0.609,5.093,8.1,Urban
0.10574,27.74,0.609,5.983,13.6,Rural
0.11132,27.74,0.609,5.983,20.1,Rural
0.17331,9.69,0.585,5.707,21.8,Urban
0.27957,9.69,0.585,5.926,24.5,Suburban
0.17899,9.69,0.585,5.67,23.1,Urban
0.2896,9.69,0.585,5.39,19.7,Rural
0.26838,9.69,0.585,5.794,18.3,Rural
0.23912,9.69,0.585,6.019,21.2,Rural
0.17783,9.69,0.585,5.569,17.5,Suburban
0.22438,9.69,0.585,6.027,16.8,Rural
0.06263,11.93,0.573,6.593,22.4,Suburban
0.04527,11.93,0.573,6.12,20.6,Suburban
0.06076,11.93,0.573,6.976,23.9,Suburban
0.10959,11.93,0.573,6.794,22,Suburban
0.04741,11.93,0.573,6.03,11.9,Rural
